input_file,α,sam_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),GRAND_pass_oligos,GRAND_fail_oligos,GRAND_success_rate,chunks_recovered,total_chunks,data_recovery,decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,,644,2635,4.09,95.65,4.35,79.5,20.5,23,52,30.67,429,429,100.0,Yes,0.3
lena.jpg,0.5,0.01,0.0035,,644,2545,3.95,95.5,4.5,77.48,22.52,32,55,36.78,429,429,100.0,Yes,0.31
lena.jpg,0.5,0.01,0.0035,,644,2872,4.46,96.43,3.57,77.8,22.2,27,35,43.55,429,429,100.0,Yes,0.28
lena.jpg,0.5,0.01,0.0035,,644,2877,4.47,96.27,3.73,80.12,19.88,33,46,41.77,429,429,100.0,Yes,0.31
lena.jpg,0.5,0.01,0.0035,,644,2792,4.34,96.12,3.88,79.04,20.96,26,47,35.62,429,429,100.0,Yes,0.27
lena.jpg,0.5,0.01,0.0035,,644,2819,4.38,97.36,2.64,77.95,22.05,26,45,36.62,429,429,100.0,Yes,0.27
lena.jpg,0.5,0.01,0.0035,,644,2916,4.53,96.58,3.42,84.16,15.84,27,49,35.53,429,429,100.0,Yes,0.3
lena.jpg,0.5,0.01,0.0035,,644,3193,4.96,96.89,3.11,83.54,16.46,23,37,38.33,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,3126,4.85,96.27,3.73,81.21,18.79,31,48,39.24,429,429,100.0,Yes,0.29
lena.jpg,0.5,0.01,0.0035,,644,3254,5.05,97.83,2.17,80.28,19.72,26,24,52.0,429,429,100.0,Yes,0.23
lena.jpg,0.5,0.01,0.0035,,644,3279,5.09,97.67,2.33,80.59,19.41,28,48,36.84,429,429,100.0,Yes,0.32
lena.jpg,0.5,0.01,0.0035,,644,3208,4.98,96.58,3.42,79.04,20.96,25,41,37.88,429,429,100.0,Yes,0.27
lena.jpg,0.5,0.01,0.0035,,644,3516,5.46,97.2,2.8,79.66,20.34,30,34,46.88,429,429,100.0,Yes,0.28
lena.jpg,0.5,0.01,0.0035,,644,3561,5.53,98.14,1.86,81.83,18.17,27,39,40.91,429,429,100.0,Yes,0.28
lena.jpg,0.5,0.01,0.0035,,644,3549,5.51,97.98,2.02,80.12,19.88,23,38,37.7,429,429,100.0,Yes,0.25
lena.jpg,0.5,0.01,0.0035,,644,3512,5.45,98.6,1.4,79.5,20.5,18,43,29.51,429,429,100.0,Yes,0.33
lena.jpg,0.5,0.01,0.0035,,644,3586,5.57,98.6,1.4,78.42,21.58,19,35,35.19,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,3923,6.09,98.76,1.24,79.19,20.81,17,29,36.96,429,429,100.0,Yes,0.24
lena.jpg,0.5,0.01,0.0035,,644,3850,5.98,97.98,2.02,79.81,20.19,26,31,45.61,429,429,100.0,Yes,0.24
lena.jpg,0.5,0.01,0.0035,,644,3748,5.82,98.14,1.86,77.64,22.36,14,28,33.33,429,429,100.0,Yes,0.23
lena.jpg,0.5,0.01,0.0035,,644,3859,5.99,97.83,2.17,79.66,20.34,15,34,30.61,429,429,100.0,Yes,0.3
lena.jpg,0.5,0.01,0.0035,,644,3876,6.02,98.45,1.55,77.8,22.2,17,39,30.36,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,4194,6.51,98.91,1.09,81.68,18.32,21,38,35.59,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,4326,6.72,98.45,1.55,79.5,20.5,22,27,44.9,429,429,100.0,Yes,0.25
lena.jpg,0.5,0.01,0.0035,,644,4107,6.38,98.6,1.4,79.04,20.96,23,27,46.0,429,429,100.0,Yes,0.44
lena.jpg,0.5,0.01,0.0035,,644,4187,6.5,98.6,1.4,79.19,20.81,14,23,37.84,429,429,100.0,Yes,0.33
lena.jpg,0.5,0.01,0.0035,,644,4172,6.48,99.07,0.93,76.4,23.6,17,26,39.53,429,429,100.0,Yes,0.24
lena.jpg,0.5,0.01,0.0035,,644,4528,7.03,98.6,1.4,80.43,19.57,14,27,34.15,429,429,100.0,Yes,0.23
lena.jpg,0.5,0.01,0.0035,,644,4466,6.93,98.45,1.55,82.76,17.24,19,23,45.24,429,429,100.0,Yes,0.26
lena.jpg,0.5,0.01,0.0035,,644,4551,7.07,99.53,0.47,78.26,21.74,16,31,34.04,429,429,100.0,Yes,0.24
lena.jpg,0.5,0.01,0.0035,,644,4555,7.07,99.07,0.93,77.95,22.05,22,36,37.93,429,429,100.0,Yes,0.38
lena.jpg,0.5,0.01,0.0035,,644,4555,7.07,99.53,0.47,81.83,18.17,19,23,45.24,429,429,100.0,Yes,0.29
