input_file,α,sam_ratio,subs_rate,total_oligos,total_reads,mean_coverage,oligo_recovery(seq),dropout(seq),oligo_recovery(decode),dropout(decode),decode_success,decode_time
lena.jpg,0.5,0.01,0.0035,644,3806,5.91,97.67,2.33,80.12,19.88,Yes,0.18
lena.jpg,0.5,0.01,0.0035,644,4235,6.58,99.07,0.93,75.31,24.69,Yes,0.3
lena.jpg,0.5,0.01,0.0035,644,4161,6.46,98.29,1.71,78.26,21.74,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,4155,6.45,99.07,0.93,74.38,25.62,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,4233,6.57,99.07,0.93,74.84,25.16,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,4110,6.38,98.76,1.24,76.4,23.6,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,4467,6.94,98.6,1.4,74.69,25.31,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,4440,6.89,98.6,1.4,74.84,25.16,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,4528,7.03,98.6,1.4,76.4,23.6,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,4469,6.94,98.76,1.24,77.33,22.67,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,4497,6.98,99.07,0.93,74.84,25.16,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,4682,7.27,98.91,1.09,78.11,21.89,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,4847,7.53,98.6,1.4,78.73,21.27,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,4803,7.46,98.91,1.09,76.86,23.14,Yes,0.18
lena.jpg,0.5,0.01,0.0035,644,4955,7.69,99.53,0.47,75.62,24.38,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,4714,7.32,98.91,1.09,77.17,22.83,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,5199,8.07,98.91,1.09,74.53,25.47,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,5073,7.88,99.22,0.78,76.71,23.29,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,5199,8.07,99.69,0.31,75.31,24.69,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,5172,8.03,99.53,0.47,78.26,21.74,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,5142,7.98,99.22,0.78,74.84,25.16,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,5386,8.36,99.38,0.62,74.84,25.16,Yes,0.2
lena.jpg,0.5,0.01,0.0035,644,5396,8.38,98.91,1.09,78.26,21.74,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,5527,8.58,99.53,0.47,75.16,24.84,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,5548,8.61,99.38,0.62,75.0,25.0,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,5493,8.53,99.07,0.93,74.53,25.47,Yes,0.17
lena.jpg,0.5,0.01,0.0035,644,5726,8.89,98.91,1.09,74.53,25.47,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,5778,8.97,99.53,0.47,75.62,24.38,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,5835,9.06,98.91,1.09,74.69,25.31,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,5842,9.07,99.38,0.62,78.57,21.43,Yes,0.21
lena.jpg,0.5,0.01,0.0035,644,5593,8.68,99.69,0.31,78.57,21.43,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,6176,9.59,99.53,0.47,75.0,25.0,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,6013,9.34,100.0,0.0,75.47,24.53,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,6248,9.7,99.53,0.47,74.84,25.16,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,6205,9.64,99.38,0.62,76.86,23.14,Yes,0.19
lena.jpg,0.5,0.01,0.0035,644,6111,9.49,98.91,1.09,74.84,25.16,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,6449,10.01,99.07,0.93,75.31,24.69,Yes,0.14
lena.jpg,0.5,0.01,0.0035,644,6498,10.09,99.07,0.93,74.84,25.16,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,6370,9.89,99.69,0.31,75.16,24.84,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,6448,10.01,99.38,0.62,75.93,24.07,Yes,0.13
lena.jpg,0.5,0.01,0.0035,644,6485,10.07,99.69,0.31,75.62,24.38,Yes,0.15
