input_file,file,alpha,pcrc,pcrp,sampling_ratio,subs_rate,rs,total_oligos,total_reads,mean_coverage,%_oligos_seen,dropout_rate,decoded_successfully
/// CRC ///
lena.jpg,seq_copy_counts.csv,0.9,15,0.9,0.009,0.002,0,816,4052,4.97,86.03,13.97,Yes
lena.jpg,seq_copy_counts.csv,0.9,15,0.9,0.009,0.002,0,816,4074,4.99,86.76,13.24,Yes
lena.jpg,seq_copy_counts.csv,0.9,15,0.9,0.009,0.002,0,816,3969,4.86,84.19,15.81,Yes
lena.jpg,seq_copy_counts.csv,0.9,15,0.9,0.009,0.002,0,816,4034,4.94,87.13,12.87,Yes
lena.jpg,seq_copy_counts.csv,0.9,15,0.9,0.009,0.002,0,816,4062,4.98,84.07,15.93,Yes
lena.jpg,seq_copy_counts.csv,0.5,15,0.9,0.009,0.002,0,644,3366,5.23,86.34,13.66,No
lena.jpg,seq_copy_counts.csv,0.5,15,0.9,0.009,0.002,0,644,3219,5.0,86.18,13.82,No
lena.jpg,seq_copy_counts.csv,0.5,15,0.9,0.009,0.001,0,644,3235,5.02,85.87,14.13,No
lena.jpg,seq_copy_counts.csv,0.5,15,0.9,0.009,0.0008,0,644,3276,5.09,85.25,14.75,No
lena.jpg,seq_copy_counts.csv,0.7,15,0.9,0.009,0.0008,0,730,3596,4.93,86.3,13.7,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.009,0.0008,0,730,3569,4.89,83.84,16.16,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.009,0.0008,0,730,3738,5.12,85.07,14.93,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.0008,0,730,3558,4.87,84.93,15.07,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.0008,0,730,3690,5.05,85.48,14.52,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.0008,0,730,3638,4.98,84.93,15.07,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.0008,0,730,3647,5.0,97.26,2.74,Yes // syn_yield=0.99
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.0008,0,730,3693,5.06,75.34,24.66,No // syn_yield=0.98 syn_number=20
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.01,0.0008,0,730,3641,4.99,76.99,23.01,No // syn_yield=0.98 syn_number=20 sam_ratio=0.01
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.01,0.0008,0,730,3602,4.93,85.75,14.25,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.01,0.0008,0,730,3624,4.96,94.25,5.75,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.0008,0,730,3568,4.89,93.01,6.99,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.9,0.005,0.0008,0,730,3627,4.97,92.47,7.53,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.005,0.0008,0,730,3601,4.93,92.88,7.12,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.004,0.0008,0,730,3573,4.89,91.92,8.08,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.4,0.0008,0,730,3547,4.86,92.05,7.95,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.9,0.0008,0,730,3682,5.04,92.74,7.26,Yes
lena.jpg,seq_copy_counts.csv,0.7,11,0.5,0.9,0.0008,0,730,3701,5.07,93.29,6.71,Yes
lena.jpg,seq_copy_counts.csv,0.9,11,0.5,0.9,0.0008,0,816,4070,4.99,93.38,6.62,Yes
lena.jpg,seq_copy_counts.csv,0.9,11,0.5,0.9,0.0008,0,816,4090,5.01,92.65,7.35,Yes
lena.jpg,seq_copy_counts.csv,1.5,11,0.5,0.9,0.0008,0,1073,5322,4.96,93.57,6.43,Yes
lena.jpg,seq_copy_counts.csv,1.5,15,0.5,0.9,0.0008,0,1073,5325,4.96,92.92,7.08,Yes
lena.jpg,seq_copy_counts.csv,1.5,15,0.5,0.9,0.0008,0,1073,5368,5.0,93.57,6.43,Yes
lena.jpg,seq_copy_counts.csv,0.5,15,0.5,0.9,0.0008,0,644,3226,5.01,93.94,6.06,Yes


/// RS ///
lena.jpg,seq_copy_counts.csv,0.5,15,0.5,0.9,0.0008,0,644,3270,5.08,96.27,3.73,Yes
